,clean_tweet
872,එක පකයෙක් වත් අපිට වැඩක් නෑ අපි %
873,මේ තවත් පොඩි පකයෙක්වීඩියෝ එක නිකන් බලහන් ගිහින්මේ එකම එකක් විතරයිමේ වගේ ඒවා දාස් ගානක් දකින්න පුළුවන්පොලිසිය මේවට හරියට ක්‍රියාත්මක වෙනවද ? දඬුවම් දෙනවද ? මනුස්සයෙක්ට පාරට බහින්න බෑ මේ වගේ පර සක්කිලි නිසා
874,මොනා උනත් මෝඩ පකයෙක් ඕකෙ ඉන්නෙ ඈයියා අසික්කිතයි අප්පිරියයි
875,සර්ගේ ගෙදර ඉන්න පොඩි පකයෙක් කෑ ගගහ සෙල්ලම් කරනවාසර් කරන දේ ඇහෙන්නත් නැහැ එක්කෝ වෙන කාමරේකට යන්න ඕනිමම හිතන්නේ වයිෆ් ළමයි බලන කෝටා එක ස ට දීලා
876,ගිය ආණ්ඩු කාලයේ ඒකාබිජ්ජ විපස්සෙ අයගෙ විනෝදාංස අමතෙකෙයි ? දැල් සැපදේපොල් කෑවදේ ? හාල් කෝමදේ කියල අහ අහ හිටියෙ නාකි පකයෙක් ?
877,අාණ්ඩුව පළාත් අතර සංචරණ සීමා විසි එක අයින් කරන්න ඇත්තේ ට්‍රිප් යන එක නවත්වන්න කොහෙද ඉතින් අමිලත් වගකීම් විරහිත පකයෙක් වගේ ට්‍රිප්පෙකක් ගියාද ? චෙක්කලේ නැද්ද ?
878,සහතික ඇත්ත අයියේ ලංකාව වටේ මුහුද තියාගෙන ඉන්දියාවෙන් ලුණු ගේන්නේ අැයි අහන්න පකයො දාහක් ඉන්නවා දර වලින් ලුණු වේලන්න ගණන් වැඩියි ගල් අඟුරු ටිකක් වත් පුච්චා ගන්න දෙනවනම් කරතෑකි කිව්වම එ්ක තමයි කියන්න එක පකයෙක් නැහැ
879,එකවත් නැති සරුංගල් පකයෙක් බුරන්න ආව බ්ලොක් කරලා දැම්ම ඉක්මනටම මම ලේසියෙන් කෙනෙක් බිලොක් කරන්නේ නෑදැනට මගේ බ්ලොක් ලිස්ට් එකේ ඉන්නේ තුන් දෙනයි
880,එකනෙඋ කුහක එකෙක් නෙ අනිත් උන් මැරෙනකන් සතුටින් ඉන්න් මොඩ පකයෙක්
881,ස ' - මේ ලොකුගෙ උඹ කියපං කපනව කියලපස්සෙ මම වැඩ්ඩා වගේ මැදට පැනලා කියන්නං ආපෝ කපන්න එපා මගෙ ජනතාව පව් කියලඊට පස්සෙ ගොං බයියො ටික ස ' හින්ද තමා අපට තාම තියෙන්නෙ කියල කවි ලියයි
882,ඒක තමයි බං ටොයිලට් එකේ හරි ඇදැඋඩදි හරි සල්ලි දුන්නනම් මහඑකාට කියපං මොන සල්ලිද දුන්නේ කියලාසිංහල තේරුනාද ? උඹලගේ ආණ්ඩුව ලංකාවේ දූෂිතම ආණ්ඩුව කියලා කියන්නේ මම නෙවේ සුනාමි සිරිලිය හෙල්ජිං මිග් එයාබස් සීනි තෙල් ඩොලර්මේවා කට කහනවවද ? මේවාට දඩුවම් දෙනවා ජනතා ආණ්ඩුවකින් අවුරුදු
883,ලංකාවේ මුලු අක්කර ගානෙන් කොච්චර % එකක් කාබනික විතරක් දාලා හරි අස්වනු ගත්තද ? රාජපක්ෂලා නෙවේ උංගේ මහ එකා ආවත් ඕක කරන්න බෑලෝකේ කවූරුත් % කරන්නෙත් නෑඕක මෝලේ නැති කම නිසා ගත්ත තීරණයක්මූලින්ම විශය හරියට ඉගෙන ගන්න කියපං ඕකුන්ට මෝඩ වැඩ නොකර
884,අමිලයා සෙට් කරලා කියපංහෙල්ප් එකක් දෙන්නම්
885,මනබැන්දු කාරණාවක් මට කියපං
886,රියදුරු බලපත්‍රය තාවකාලිකව රඳවාගෙන නිකුත් කරන කොලය තියනව ඇතිනෙ යාලුවා ලඟඅදින්න කියපං ලෙඩේපොලිසිය කුක්කො වගේ පස්සෙ වැටිල එන්නෙ
887,එතකොට බං අර හරක්සේන ඉක්මනට අල්ලපු අඩු ගිණිකුරු පෙට්ටි හදුන්කුරු පොරට මොකද කරන්නේ ? තහවුරුත් කරා නේද මිනිහමයි කියලා ? මාර නලුවොනේ බං ගිලෙන නැවේ ඉන්නේ ? විශ්‍රාමගිය දොස්තර මු දොස්තරද කොන් දොස්තරද ? නලුවොයි කතාඑකයි මාරු කරගන්න එපා කියපං බංමේ ඔක්කොමමිනිස්සු දන්නවා බොරු
888,තමන් කියන විදිහට අභ්‍යන්තර විගණනය කරන්න එක්කෙනෙක් දමා ගන්නවා හරියට තමන්ම කොම්පියුටරේ අරගෙන මම ආචාර්ය උපාධියක් තියෙනවා කියලා උපාධි සහතිකයක් හදනවා වගේ වැඩක් නේද ? හොරකම් කරන්නේ නැහැ නම් විගණනයට භය ඇයි කියපං ? පොහොට්ටු පක්ෂවහලුන් ඩොලර් මිලියන පන්සියයක් ගෙවන ලද්දේ කාහටද ?
889,මචං පිස්සා මොනවාද කිව්වේ කියලා හොයලා බලලා කියපං
890,මේක කියපං උබව නැවත පුම්බන උබේ වහලුන්ටඋබ ජෙප්පන්ට කතාකරනවා එකතුවෙන්න කියලාඋන් ජෙප්පන්ගේ සියයට න ගැන කතා කරනවා
891,උඹත් ඒ ගමනිං කොටසක්හෝ යන්න කැමති නං කියපං පානමේ ඉඳල පාදයාත්‍රාවට යන සෙට් එකකට සෙට් කරන්නං
892,මට මරු කරන්න වෙලාහොද තැනක් සෙට් උනොත් කියපං
893,කියපං චන්දෙ නං දෙන්නේ නෑ ජවිපෙ තමයි එවන්නෙ කියලා
894,ඔව් ඕකුන් ත්‍රස්තවාදීකාලකන්නි හැතිකරේරටවල් විනාශ කරන්න පුළුවන් පිළිකා
895,ඒම තමා සින්හල මිනිස්සු ඉන්නවා නේද අල්ලපු ගෙදර එකා කැමති නෑ මෙහා ගෙදර එකා උට වඩා අඩියක් හරි උඩට යනවට ගමේ එව්න් කැමති නෑ හොඳට උන්ට වඩා කවුරුත් ඉන්නවට හැතිකරේ කියලා වැඩක් නෑ
896,හැබැයි එතන වෙන්නේ මොකක්ද කියලා හොදටම දැන දැනත් විවේචනයට කරපු ගොබ්බ හැතිකරේ නැතුවම නෙමේකට කහනවට හැමදේම විවේචනය කරන උන් ඉන්නකන් ඉතින් හැමදාම ලංකාව එකම තැන තමා
897,වෙන උන්ගේ යාලුවෝ නම් ග්‍රැජුවේශන් වලට මල් පොකුරු චොකලට් ටෙඩියෝ සෙල්ලම් කාර් උස්සන් යනවා ග්‍රැජුවේට් වෙච්චි එකාට දෙන්නඒකට අපිට ඉන්න හැතිකරේ
898,භෝගයක් හදන්න පෝර ටිකයි තෙල් බේත් ටිකයි නැති කරන්න තීරණ ගත්ත රටේ උඹ හිතනවද මොනරෙක් අලියෙක් වඳුරෙක් වල් ඌරෙක් ඉත්තෑවෙක් ඇවිත් වගා හානි කළා කියලා උන් දුර දිග බලල මේ ගොන් හැතිකරේ බලයි කියලා
899,පාරෙ යන හැම වාහනේ එක්කමයන්න හදන උන් ඔක්කොටොම කලින් හරි හමන් වාහනයක් අරන්ඉන්න ඕනිගොබ්බහැතිකරේ
900,මේ කාලකණ්ණි හැතිකරේ මුදල් අච්චු ගසන නිසා කොතෙක් මුදල් ඉපයුවද පුස්ස බින්දාසේ යදවසින් දවසට මෙලෙස භාණ්ඩ සේවාවල මිළ ගණන් ඉහළ යද්දී වැටුප් ඉහළයාමක් සිදු නොවන නිසා මුදල් අළුත් ගෑස් මෙන් වාෂ්ප වෙයිතවමත් තේ දළු කි ග්‍රෑම් එකක් - අතරේ ය පොහොර නොදමන නිසා ප්‍රමාණයද අඩු යඉතිං ? ?
901,ඒක උන්ම විනාශකරගත්තේ නැහැනේමේ හොදින් තිබ්බ රට කාලා විනාශකලේ රාජපස්ස නඩයයි බයිහැතිකරේ නේ
902,අනුරට පඩියක් නැහැ හැබැයි පිට රට බැංකුවල සල්ලි ජුවලරි කරලා වෙන්න ඇති පෙති ගහලා දැම්මත් මදි කාලකන්නි පර හැතිකරේ මම කියන්නෙ යිතොපි වගෙ පින්ගුත්තර කටු සෙවලයන් සේරම
903,මට එපාවෙලා තියෙන්නෙඑකක් දාන්න බෑ අපිට අපේ අදහස් කියන්න බෑ කාටවත්ලටකරන්න බෑ මොන මගුලක්ද දෙන්න හිතෙනවා උඩින් යන්න වේ හැතිකරේ
904,සතෙකුටවත් මෙහෙම දෙයක් කරන්න පුලුවන්ද ? තිරිසන් අන්තවාදී ම්ලේච්ඡ හැතිකරේ
905,එක බයියෙක් අහන කිසි දේකට කෙලින් උත්තර දෙනවද බලහන් බැද්දගේ අයියේ ඕකුන් ගූ හොදන්නම ඉපදිච්චි හැතිකරේ
906,වස්සා මොකාද කියල මෙතනට ඔලුව දාල කට්ටියටම පෙන්නුවාදැන් පල සෙවල වහල්ලුකොන්ද පන නැ නම දාල ප්‍රොෆයිල් එක හදන්න අකින් උන් හදන්න එනවාඋම්බල තමා ලන්කාවෙ සාපෙවෙන රටක හිටියනම් උම්බල වගේ උන්ගෙ * * ට පයි ගහල එලවන්නෙගොන් හැතිකරේ
907,උඹට මෙවා පේනවද ගල් මූසලයො ? තෝ පුක උඩ දාගෙන කඩේ ගියෙ මුන්ටතොගෙ වැඩේ කෙරුනානෙ එ ඇතිතොපි වගෙ ලෙජන්ඩ් තූ නොදකින් අඩු කුලෙ පර බලු හැත්තරටටම හෙන ගැහුවා වගෙ දැන්නම්සල්ල වලට රාජපක්ෂලට හුකපු උඹයි උඹේ හැතිකරේ හැඳිගෑවිලා යන්න ඔනෙ
908,හැමොම ඔහොම හිතුවම මේ රට පාලනය කරන්නෙ කවුද ? අපි උබ වගේවෙනි පාර්ශවයට නැඹුරු වෙන්න ඉන්න සමාජය ඔහොම හිතලා එකෙක්ටවත් නොදී හිටියම පරන වහල් හැතිකරේ උංගෙ ලොක්කට ආයෙත් දුන්නම ආයෙත් මේක පාලනය කරන්නෙ අර දෙකෙන් එකක්ඊටපස්සෙ හෙනගහපං වතුර ගලපං කිය කිය ඉදපං තව ක්
909,""" බම්බුව තමයි ගමෙන් පටන්ගන්නේ මේ කාලකණ්ණිහැතිකරේ කනවා රට "" - තිස්ස කුට්ටිආරච්චි"
910,දුකක් නොවේ බොල පරදේශක්කාර හැතිකරේ බෝ කරලා ගිය කුක්කු පැටව් තමයි ඔය
911,ආයෙත් අහලාඅනුන්ගේ කුණු හොයන හැතිකරේ
912,තව හාගන්නෙක් ඇවිත් ගාණ හොයාගන්න දූෂිත මිණිමරුවන්ට කඩේ ගිහින්ඔයිට වඩා නරකද ඉරාජිගේ ගවුමක් ඇදැගෙන පංචිකංවත්තට බැස්සනම් ? කාලකන්නි හැත්ත රට කනවා පෙනා පෙනි උන්ටම කඩේ‍ යන අවජාතක හැතිකරේ
913,හෙන සයිකෝ කේස් එකක් මේවට ආවත් ඉන්න හැතිකරේ කරන්නෙ උඩ දාන එකදැන්නම් සීන් එක සෑහෙන්න ඔඩු දුවලා
914,ඔය නරි රැල පහුගිය අවුරුදු දෙකේ ගොන් හැතිකරේ පිරිවරාගන සතක පලක් නැතිපිටරට සවාරිගහපු ඩොලර් වලින් ගෙවන්න කියපල්ල කාලකන්නි
915,නිදාගන්න කියල ගියාම ගමේ පන්සලේ නොදැම්මත් වටේ පන්සල්වල හැතිකරේ ලවුඩ් ස්පීකර් දානවාවෙද්දි
916,"මම හරී බයයි ලංකාවේ අය එක්ක කතා කරන්නඉතිං මම ගුරුවරයා එක්ක විතරයි දැනටකතා කරන්නේමට ලොකුවට බෑනමුත් පුලුවන්පිටරට කෙනෙක් එක්ක කතා කලාම වැරදුනාට කිසිම අවුලක් නැහැ එයාලා ඒක ගානකට ගන්නෑනමුත් ලංකන් කලු සුද්දෙක් එක්ක කතා කලම "" ඊයා මූ ගොඩේ "" පර හැතිකරේ"
917,දඹදිව උන්දැල රතිඤ්ඤා පත්‍තු කරනවලු පකිස්තාන පැරදුන එකටකාළකණ්ණි හැතිකරේ ඕකමයි මං අද පකිස්තාන දිනනවට කැමති උනේ
918,ගොන් බයි හැතිකරේ මාර්ග ආරක්ෂාවට තියෙනමාර්කින්ග්ස් වලත් චිත්‍ර ඇන්දනේමුන්වනම් පාස්පෝර්ට් නැතුව බෝට්ටුවක නග්ගලා හරි මේ රටින් යැව්වනම් රටට හොඳයිහැබැයි ආයේ අන්තිම පාරට රට දිනවන්න කිය කිය චන්දෙ දාන්න එන එකත් තහනම් කරන්න ඕනේ ‍
919,කාළකණ්ණි හැතිකරේ හැමදාම ඔහොම අන්තිමට ඇවිත් එක පෙනි පෙනිවෙලා ගොං විදිහට පැරදිලා යනවනෙ ඉතින් කොහෙද රෙද්දක් ඇඳං සපෝට් කරන්නෙ ? ‍
920,ඔව්උඹලට ඉතරක් අඩුවක් නැතිව කාල බීල හිටිතෑකි විසිකරන වහලු කාල පුරෝගන්න හැතිකරේ නෙ මේ හිටූ කියල කඩෙි යන්නෙ ජාතිවාදෙයි කාබනික කුසිකරුමෙයි අරක මේක ප්‍රවර්ධනය කොර කොර ?
921,අපේ සල්ලි කකා අපේ ජීවිත උකසට තියල චීනගෙ ගිනිපොළී ණයත් කෑවවෙනකල්කොහෙද ඉස්කෝලෙ මුරට යන්න වෙනව කියල දීපු අණ්ඩරේ කෑව නෙව මේ ගොං හැතිකරේ
922,ආවෙ නඩු බේරන්නනෙ ? පුරහ්නෙ තියෙන්නෙ මේකෙ හාකවිසියක්කත් චන්දෙ දීපු හැතිකරේ නොදන්නාඑකමුං ඉඳල තියෙන්නෙ මේ රටේ නෙවෙයිපිටරටකනැත්තං අච්චර අර නඩු කන්දක් තිවුණදන්නෑ දන්නෑදන්න එව්වො කියන්නෙ තරහට ගොතපු බොරුනඩුමේවට ඉතිං කියන්ඩ කතා තියෙනවමොකටද මට ? වැඩක් නෑ
923,එතකොට ස්වර්ණාභරණ හා මැණික් ඇමති කමඒකෙන් අයින් වෙන්න ඌ රත්තරං බඩු කඩයක් මංකොල්ල කනකන් ඉන්න ඕනෙදඒ බොල ඒසිගේ පුතෝරිප්ලයි කරන්න වත් කොන්දක් නෑ ගූ බලු බයි හැතිකරේ
924,"කෙල්ලෙක්එකක් දැම්මම ඒකෙ හොයන්න පුලුවන් සේරම සූම් කර කර බලල අන්තිමට "" ලස්සනයි නන්ගො "" කියලඋත් දානවා නෙද්දකින් වලත්ත හැතිකරේ"
925,ආන්ඩුව සහතික මිල දාද්දිත් ගොවියො ගැන හිතලා වැඩ කරන්නෙ මෝල් කාරයෝ ටික විතරයි අස්වැන්නට හරි මිලක් දීලා කොරෝනා කියලා කොළඹ උන්ට හාල් අඩු කරලා දෙන්න ඕනිද හැතිකරේ දැන් නම් මැරිලා යනව නම් එකක් කොරෝනා වැඩි වෙලා හරි ගොවියො හැමෝම ශාප කරනවා ඔය ත්තෙ ආන්ඩුවටයි කොළඹ කවි ලියන මහත්තුරුන්ටයි
926,මේ පාංකඩ හැතිකරේ ඉන්නතාක් වයිරස් ලංකාවෙන් තුරන් වෙන්නෙ නෑ
927,ඌ දන්නෑ දෙවෙනියා මීට කලින්කියලා සාපයක් මේ හැතිකරේ
928,හුකනවාකියලාබර සෙට් එකක් ගහලාකාට හරි වදිද්දී ගොඩ යන්න බලන හැතිකරේ
929,ලංකාවේ රජයේ මැටි ඇමට්ටා ඉඳන් ආයතන වල හැතිකරේ උනත් ඉන්නේ මිනිස්සු ගැන හිතන්න නෙවේකොම්පැනි බේරන්නපොල්තෙල් සීන් එකේ ඉඳන් ගෑස් ද හාල් ද පිටි ද ඕනෑම කරන භාණ්ඩ එක්කලා අන්තිමට බේත් පෙත්ත වෙනකන්ම උන් ගත්තේ කම්පැනි එකේ පැත්ත විතරයිමුන් ඔක්කොම කොම්පැනි වල රූකඩ
930,අනේ නිකන් පළයන් බන් ගොන් ගහ යන්නසෑර් දවස ගානේ තියන් අරිනකොට ජෙප්පොන්ට බැනලා සැනසෙනවාපව්ගොන් හැතිකරේමේකත් පට්ට බයිලයක්නේ ඉතින්
931,කියන්න වචන නෑ සම ' හරක්කාළකණ්නිම්ලේච්ඡමළ පෙරේත හැතිකරේ ගැනමනුස්සයෙක් ව කැපුවනම් කෑ ගහයිඑපා කියයිප්‍රතිප්‍රහාර එල්ල කරයිඅහිංසක සතා කාටද කියන්නෙ මනුස්සයෙක් ව කැපුවනම්බෝඩ් කෑලි එල්ලන් පෙලපාලි යයියුක්ති ය ඉල්ලයි උබ වෙනුවෙන් පෙලපාලි යන්න කවුරුත් නැතුවැති පුතේ
932,උන්ට තිබ්බා වගේ ටෙක්නොලොජි ටිකයි අවි ආයුධ ටිකයි ශ්‍රමයයි අන්තර්ජාතික ප්‍රෙෂර් එක නැති එකයි අපේ වගේ උන්ට තිබ්බනං සුද්දම කරනවා ඔය හැතිකරේ
933,රාජපක්ෂ කියන හැතිකරේ හදිගැවිලම පල
934,මේ වේස හැතිකරේ එක්ක සිහින මාලිගා හදනවට වඩා හොඳයි අනිත් හැමදේම
935,කාලකණ්ණි % ජෙපි හැතිකරේ හරි ආසයි රටවෙනවටඕකුන් % ටත් එහා බැහැලා වඳවෙලාම යන්න ඕන
936,අම්මපා ඇත්ත මෝඩ හැතිකරේ නිසා අහිංසක මිනිස්සු විඳවනව
937,රජයේ තවත් එක් අසාර්ථකත්වයක් තමා මේලොක්ඩවුන් එක අයින් කරපු එක මානූශීය තීරණයක් ඒක අගය කරන්න ඕනාඒ උනාට රටේ හැතිකරේ ගැන දැන දැන ෆුලිම වගේ හැමදේම සීමා අයින් කරපු එක තමා වැරැද්දපේනවනේ හරක් පට්ටි පිටින් හැසිරෙන හැටි
938,"ගියා විතරක් නොවේ මුලුරටම අපකීර්තියට පත් කලාඑකෙන් කන්ඩායමේ උපනායකයා වෙලත් "" විනය "" ගැන කිසිම හැගීමක් තිබුණේ නැහැඅවුරුදුකට වැඩි කරන්න තිබුණේතාමත් බෝන්එගේන් කාලකණ්ණි හැතිකරේ ක්‍රියාත්මක වෙනවා වගේමුන්ව ආපසු වලට ගන්න එපාදසුන්"
939,මේ වගේ ගොන් හැතිකරේ නිසා අපිට නිදහසේ ඉන්නත් නෑ
940,පෘතුගීසි කාරයෝ පැදුරේ හලලා ගිය උන් අඩු කුලේ පර හැතිකරේ
941,ඔය සමාජ මාධ්‍යවල ඉන්න සේපාල අමරසිංහ වගේ අය කවදාවත් අපේ මිනිස්සු පිළිබඳව යම් කිසි කතාවක් කියන්න හැමතිස්සෙම කරන්නේ සුද්දා අර කකාරා සුද්දා මේක කරා බලන්ඩ ශුද්ධ ඔන්න තමයි කතාව අපේ උන් ගැන කිසිම වර්ණනාවක් නෑ ඒක තාම හැතිකරේ හැටි
942,උන්ම කියනවා අපිත් කියන්නේ ඒකම තමයි කියලඊට පස්සේ වෙන මොනවා අහන්නදවගකීමක් වගවීමක් ගන්න කෙනෙක් නැහැචන්දෙ දෙන මෝඩයන්ට ගානකුත් නැහැපේනවනේ මෙතන එක එකාට කඩේ යන හැතිකරේ
943,අපි නෙමේ උඩගෙඩි දෙන්නේ තමුසෙලා වගේ මේ ලොන්තයන්ට හොටු පෙරාගෙන කඩේ යන ගොබ්බයෝ හැතිකරේතමුසෙලාගේ පක්ෂ වල ලොක්කොන්ට කොරන්න පුලුවන් හරියක් නෑ ඕයිඔය පක්ෂ කඩමාලු වෙනුවට හරි හමන් එවුන් ටිකක් හදාගන්න මහන්සි වෙනවානැත්තං අර ආණ්ඩුව මෙහෙම කලා ඇයි අපි කලාම නරකද වගේ ලොන්ත කතා හැමදාම කියයි
944,"කොටිංමඅල්මාරි ඇතුළෙත් ඉන්නවාරෙදි වැලවල් පුරා පිඟන් රාක්කෙ හිරමනේ උඩ ටේබල් ලෑම්ප් ඇතුළේ නාන කාමරේ ටූත්පේස්ට් උඩ හැමතැනම දිමි හැතිකරේමට රෑට නින්දක් නෑ උං මුණු මුණු ගානවා ඇහෙනවාලී කොටං උස්සං යන සද්දෙ ඇහෙනවාතමුංට විතරයි මං මේ විත්තිය කිව්වෙත්ඔන්න ඔය ගහ කපලා දානවකෝ """
945,"එක එක අභිනයෙන් හේතුව කියන්න හැදුවට චන්ද්‍රමෞර්‍ය ට මෙලෝ දෙයක් තේරුණේ නෑකාලෙ නාස්ති කරනෙක තේරුමක් නෑ කියලා මිනිහා වැඩේට හා කිව්වා "" යංකො මිදුලට "" ලිලිසියා මිනිහව මිදුලට එක්කං ආවා "" අඹ ගහේ ඉන්න දිමි හැතිකරේ එක්ක බෑඋං මුළු ගෙදරම යටත් කරං ඉවරයි"
946,මෙන්ටර්ගෙ මූණ නිකන් රෙන්ට වගේ
947,ඉතින් රෙන්ට තැනක් හමු උනාද ?
948,යාපනෙ නාගවිහාරෙ ඉන්නෙරෙන්ට කාර් හොයනව
949,රෙන්ට කාර් එකේ අයිතිකාරයක්ගෙ පුතාගෙ යාලුවා තමා ලයිසන් නැතුව හප්පලා තියෙන්නේතාත්තාගෙ වාහනයක් අරන් ගිහින් තියෙන්නේ රෙන්ට කාර් එකේ බිස්නස් එකටත් ඇති නේ ඉන්සුවරන් එකක් ඒකෙන් කවර් වෙනවා ඇති වාහන ෆ්ලීට් එකට වෙන ඩැමේජ්
950,රෙන්ට කාර් එකක එකක්ලු නෙහ් ඒකෙන් කවර් වෙයි වාහනේ
951,මෑන්ස් ගෙම වැඩක්ද දන්නේ නෑඑක අයිති රෙන්ට කාර් කාරයෙක්ට නෙහ් දෙන්න කතා වෙලා පුතාගේ යාලුවෙක් දාලා වැඩේ කරාද දන් නෑ
952,ඇත්තනේ අනේලක්සරි පුප රෙන්ට දන්නේ නැද්ද
953,රෙන්ට නෙවෙයිනම් උයාන කන්නදඕවයේ කක්කුස්සි හදලා තියෙන්නේ
954,ඊයා ඒයිමෙයාලා හිතයි රෙන්ට බලාගෙන කෝච්චියේ යන්නේ කියලා
955,සතුටුයිඅපිටත් රෙන්ට කා එකක් දෙන්ට
956,අප්පොච්ච අවුරුදු ක් කරලත් හම්බන්තොට ගොඩනගන්න බැරි වුන කොට උබ අවුරුදු කීයක් ගොඩ නගයිද නෝමලයො මිනිස්සුන්ට රෙන්ට ලැට් එකක් නැතිව උබල හත්මුතු පරම්පරාවම ගොඩනගපු ඒව හොදටෝම ඇති
957,අනේ තුදු පිස්සු වැඩිවෙලා ටෙන්ෂ්න් වෙලා මැ රෙන්ට එපා
958,යාළුවනේ මට කැරිම රෙන්ට බරක් තියෙනවාදැන් නං දරාගන්ට බැරි ලෙවල් එකක තියෙන්නේමං රෙන්ට ද ?
959,රෙන්ට ගූ නැතීබඩේ බොකු වැල් නැතී උඹ වගේ ලොල් පුතී උදේ හවසත් අතින් විසිරතී
960,මෙච්චර වැසිකිලි තියෙන රටේ රෙන්ට කාර් ගැනීම ඔබ අනුමත කරනවද ? -
961,දවස් දෙකකට කාර් එකක් රෙන්ට ගන්ට තැනක් දන්නවද කොළඹ අවට ? රියදුරු මහතා සමග තමයි අවශ්‍ය
962,අපේ උන්නම් අන්තිමයිමාඨ්‍ය උනත් දියුණු රටවල තියෙන තත්වයපිරිසිදු බවනීතිගරුක බවමිනිසුන්ගේ හොද පුරුදු පිලිබද කිසිම වැඩසටහනක් කරන්නේ නෑ ඉන්දියාවේ රෙන්ට කක්කුස්සී නැති උන්ගේ රෙද්දවල්කරයි
963,සිංහල සැමන් ටින් කබලක් අරගන්ට සිංහල වතුර එය ඇතුලට පුරවන්ට සිංහල කම කකා යලි ඒකම රෙන්ට සිංහල අතෙන් සිංහල පුක හෝදන්ටසිංහල කියන තක්කඩි දෙන ලණු කන්ට සිංහල ඔලුව පල් වතුරෙන් නාවන්ට සිංහල අසිංහල ධනපති ගොඩ යන්ට සිංහල - දෙමළ - මුස්ලිම් මස් වළදන්ටවිමල් කැටිපෙආරච්චි
964,රෙන්ට නැති පුක මාමයිට් ගාන්නද
965,රෙන්ට පුකේ ගූ නැති උන් දානකොටම අපි දන්නවා පතිවත සාක්කුවේ කියලාපව් ඉතින්
966,ඇරිය ඇරිල්ලට රෙන්ට කට අරින්න විතරයි තියෙන්නේ
967,""" රෙන්ට ප්‍රයිස් ශ්‍රී ලංකා "" "" """
968,""" පොලො රෙන්ට කැකිරි "" කාලා තියෙයිද උබලා ? ඔය පොලොංගු කැකිරි කාලා රීපුවංගෙංලු හදා තියෙන්නේ බොරුනං සඳසි අබේනායක අහපං"
969,රෙන්ට යන සීන් එකත් තියෙනව ඔයාගෙ
970,හෙලිකොප්ටර් එකක් රෙන්ට එකට ගන්නවනම් හා අක්කි
971,සාමින්දගෙ රෙන්ට තියෙන පුක කෝච්චි පාර වගේ වෙයි කියලද ඔයා කියන්නෙ ?
972,බැද්ද ගේ අයියාහ්හ්හ් මට රෙන්ට බරට වගේ
973,කවුරුහරි මේ මල්ලිට රෙන්ට කාර් එකක් හොයලා දෙන්න
974,බොරු කියලා එකේ පොෂ් වෙන උන් රෙන්ට තාම දුවන්නේ වත්ත පල්ලෙහාට
975,මං ලක්ෂක් ගන්නේ එක එකාට රෙන්ට කක්කුස්සි දාන්ටද ? කොල්ලෝ ඉන්නේ අසහනයෙන් ප්‍රීති කසානා
976,""" "" ? රෙන්ට කාර් ? ?"
977,සාගතේ ආවම කන්ට නෑ කන්ට නැත උනාම රෙන්ට නෑඑතකොට අධෝමුකේ මකුළුදැල් බැදෙනවා අන්න ඒවා කඩන්න ක්‍රමයක් කල්පනා කරහං
978,අපි මේ රෙන්ට ලන්දට යන උන් අයියා මොනා කීනවද මන්දා
979,""" - - "" රෙන්ට මොටෝ කාර්ගමේ බයිය හසන්ත මහත්තයෝ ඇත්ටම රෙන්ට මොනාටද කාර්"
980,මා ආදරණීය ජනාධිපතිතුමනි බඩ යන එකාට අමුඩ ගසා වැඩක් නැත රෙන්ට බර වෙලා පිඩිය හොයන්නේ නැතුව බයික් පදින මිනිස්සුන්ව
981,රෙන්ට පුකේ ගූ නෑ බඩයන්ඩ කතාව
982,රෙණ්ට නැති පුක කොස් කොටන්නද ?
983,තෝ දැක්කද ඒ ට්වීට් එක
984,යාලුවාඅඩේ මං එහේ ආවහම මට උබලැයේ කොම්පැනියේ රස්සාවක් දියං ඈ ? මං නියමෙට රන් කරන්නං මුලූ කොම්පැනියම යාලුවාඇයි තෝ සුංදර් පිචායිද ?
985,බොරු කියන්න එපා යාකෝ තෝ
986,එදා මයෙ පිප්පියෙන් ඇල්ලුවා තෝ
987,තෝ තමයි කොළු කාරයා
988,හිනා වෙලාම රිදෙනවා තෝ වගෙ අමු ගොන් බූරැවෙක් දිහා බලලා
989,තෝ කාටද ලවු කවුද තෝට ලවු
990,තෝ මොකද මම දැක්ක මට අනම් මනම් කියල තියෙනව
991,තෝ මගේ අහිංසක හර්දවස්තුව පෑරුවා
992,හෙන ගැහුවනම් දැන් තෝ මැරිලනෙ
993,තෝ බොරු නොකිය හිටු මං නොදන්නවයි තොගෙ වයස
994,මංච මැඓනකල්ද තෝ බලන් ඉන්නෙ
995,තෝ මොකටද මෙිවා දාලා අපෙි අහිංසක හිත් පාරනිනෙි
996,යකෝ තෝ බලු වැඩ කරන්නෙපා පරයො
997,නැහැ ගොන් බූරැවෝ තෝ මොනවද කලේ ගොනා වගේ කට වහගන හිටිය නේද නිවටයා ? ?
998,බුරියට තරහ ගිහින් තෝ උක විකාගෙන මැරුනත් කරන්න දෙයක් නෑ අනික සොහොනෙ ගෙවල් හදන්නෙත් නෑ උඹල වගේ අවතාර වලට බයනම්
999,? ? ? තෝ වගෙ එවුන්ව තමා කියන්නේ නිවට වහල්ලු කියලා යකෝ
1000,ඖ ඖ තෝ නිදිමියුට් කරගෙන වෙලාවට
1001,හඤ්ඤේ තෝ මොනවාද මං ගැන හිතං ඉන්නෙ හනුමෝ
